cone_number,cone_length_mm,cone_width_mm,stalk_length_mm,scale_length_mm,scale_width_mm,scale_number,cone_angle,colour (hue),value,chroma,profile,cone_ratio,openness,seed_number,filled_number,seed_viability
55.00,41.45,22.54,9.18,6.93,8.69,58.00,9.00,1.00,5.00,4.00,3.00,0.54,3.00,20.00,20.00,1.00
55.00,45.66,24.05,9.33,8.47,8.38,62.00,8.00,1.00,5.00,4.00,3.00,0.53,3.00,25.00,25.00,1.00
55.00,46.03,24.36,10.65,8.09,9.24,72.00,6.00,1.00,6.00,4.00,3.00,0.53,4.00,25.00,23.00,0.92
55.00,41.23,23.97,11.57,7.80,7.63,68.00,8.00,1.00,6.00,4.00,3.00,0.58,4.00,29.00,26.00,0.90
55.00,49.37,26.13,8.89,8.33,9.67,74.00,7.00,1.00,7.00,4.00,4.00,0.53,4.00,37.00,34.00,0.92
24.00,32.81,14.74,8.49,5.40,6.45,48.00,5.00,1.00,8.00,4.00,1.00,0.45,2.00,4.00,2.00,0.50
24.00,40.23,17.33,11.91,6.87,7.44,66.00,7.00,1.00,8.00,4.00,1.00,0.43,3.00,13.00,10.00,0.77
24.00,38.28,17.81,10.96,7.24,6.88,72.00,8.00,1.00,8.00,4.00,1.00,0.47,3.00,19.00,13.00,0.68
24.00,38.93,17.46,9.26,6.38,7.29,57.00,7.00,1.00,7.00,4.00,1.00,0.45,4.00,25.00,22.00,0.88
24.00,42.21,19.34,8.14,7.65,7.26,67.00,6.00,1.00,7.00,4.00,1.00,0.46,3.00,26.00,21.00,0.81
5.00,39.79,17.48,6.61,7.95,8.79,54.00,10.00,1.00,7.00,6.00,1.00,0.44,4.00,18.00,15.00,0.83
5.00,38.05,18.93,10.10,6.51,7.15,65.00,9.00,1.00,6.00,4.00,1.00,0.50,2.00,24.00,9.00,0.38
5.00,46.67,20.94,8.70,7.42,7.86,68.00,19.00,1.00,7.00,6.00,1.00,0.45,4.00,33.00,21.00,0.64
5.00,48.49,22.74,7.91,8.08,8.64,70.00,7.00,1.00,7.00,8.00,1.00,0.47,4.00,33.00,30.00,0.91
5.00,49.83,22.18,9.81,8.09,8.67,69.00,11.00,1.00,7.00,6.00,1.00,0.45,4.00,39.00,38.00,0.97
3.00,35.85,18.16,10.01,6.83,6.38,60.00,9.00,1.00,6.00,4.00,2.00,0.51,2.00,16.00,15.00,0.94
3.00,39.02,18.73,9.00,7.68,6.71,61.00,9.00,1.00,6.00,4.00,2.00,0.48,2.00,18.00,13.00,0.72
3.00,41.99,18.75,9.86,7.98,7.36,56.00,13.00,1.00,6.00,4.00,2.00,0.45,4.00,20.00,17.00,0.85
3.00,42.77,19.37,8.72,7.53,6.46,65.00,7.00,1.00,6.00,4.00,2.00,0.45,3.00,22.00,21.00,0.95
3.00,40.51,18.88,10.40,7.92,7.22,65.00,13.00,1.00,6.00,4.00,2.00,0.47,4.00,24.00,22.00,0.92
16.00,33.27,18.08,8.40,5.44,6.19,66.00,8.00,1.00,7.00,4.00,2.00,0.54,2.00,15.00,12.00,0.80
16.00,33.58,18.39,7.04,5.75,6.05,67.00,8.00,1.00,6.00,4.00,2.00,0.55,2.00,18.00,15.00,0.83
16.00,38.03,21.46,10.62,6.82,7.41,73.00,9.00,1.00,8.00,4.00,3.00,0.56,3.00,30.00,20.00,0.67
16.00,34.44,18.04,8.52,5.17,6.02,72.00,8.00,1.00,7.00,4.00,2.00,0.52,2.00,32.00,19.00,0.59
16.00,40.85,21.24,9.90,6.65,7.11,77.00,8.00,1.00,7.00,4.00,3.00,0.52,3.00,35.00,25.00,0.71
87.00,47.95,23.13,9.86,9.25,8.88,46.00,6.00,1.00,6.00,4.00,1.00,0.48,4.00,18.00,15.00,0.83
87.00,49.17,24.48,11.76,9.99,9.31,58.00,6.00,1.00,6.00,4.00,1.00,0.50,4.00,20.00,13.00,0.65
87.00,43.22,21.50,9.95,9.32,8.32,50.00,12.00,1.00,6.00,4.00,1.00,0.50,4.00,23.00,19.00,0.83
87.00,54.01,24.56,10.65,10.71,10.23,62.00,6.00,1.00,6.00,4.00,1.00,0.45,4.00,35.00,27.00,0.77
87.00,48.69,23.40,11.54,9.67,9.62,64.00,7.00,1.00,7.00,4.00,1.00,0.48,4.00,35.00,28.00,0.80
47.00,46.42,24.39,7.27,8.73,8.34,76.00,8.00,1.00,6.00,6.00,1.00,0.53,4.00,24.00,20.00,0.83
47.00,46.60,25.83,9.50,8.55,8.30,75.00,8.00,1.00,6.00,4.00,1.00,0.55,4.00,29.00,26.00,0.90
47.00,39.99,21.99,8.62,7.60,7.36,66.00,10.00,1.00,6.00,6.00,1.00,0.55,4.00,29.00,24.00,0.83
47.00,42.13,23.41,9.75,8.23,7.71,73.00,9.00,1.00,6.00,6.00,1.00,0.56,4.00,34.00,31.00,0.91
47.00,44.05,24.98,8.44,8.01,8.18,74.00,8.00,1.00,6.00,6.00,1.00,0.57,4.00,35.00,31.00,0.89
76.00,38.05,19.15,9.45,5.53,6.07,77.00,7.00,1.00,7.00,6.00,3.00,0.50,1.00,0.00,0.00,0.00
76.00,46.62,23.27,9.33,6.68,6.96,72.00,5.00,1.00,7.00,6.00,3.00,0.50,2.00,36.00,32.00,0.89
76.00,54.07,25.77,8.68,7.72,7.87,88.00,6.00,1.00,7.00,6.00,3.00,0.48,3.00,46.00,40.00,0.87
76.00,51.68,23.49,10.66,7.73,7.59,77.00,7.00,1.00,8.00,6.00,3.00,0.45,3.00,50.00,41.00,0.82
76.00,47.29,23.75,9.11,7.30,7.22,76.00,6.00,1.00,8.00,6.00,3.00,0.50,2.00,50.00,45.00,0.90
16.00,56.33,26.92,11.35,9.65,9.07,80.00,10.00,1.00,7.00,4.00,4.00,0.48,1.00,0.00,0.00,0.00
16.00,48.69,23.91,9.32,8.06,7.02,84.00,7.00,1.00,7.00,4.00,3.00,0.49,4.00,11.00,10.00,0.91
16.00,47.23,23.97,11.13,8.03,7.87,76.00,7.00,1.00,7.00,4.00,4.00,0.51,2.00,14.00,11.00,0.79
16.00,46.76,24.35,11.61,7.48,8.05,73.00,7.00,1.00,7.00,4.00,3.00,0.52,2.00,17.00,14.00,0.82
16.00,59.22,27.98,12.44,8.91,8.55,98.00,11.00,1.00,7.00,4.00,4.00,0.47,2.00,27.00,25.00,0.93
45.00,47.70,23.03,7.21,10.57,8.53,61.00,7.00,1.00,6.00,4.00,1.00,0.48,1.00,0.00,0.00,0.00
45.00,51.15,26.51,9.21,10.38,9.32,66.00,9.00,1.00,6.00,4.00,1.00,0.52,1.00,0.00,0.00,0.00
45.00,51.62,25.08,8.34,9.70,9.00,69.00,7.00,1.00,7.00,4.00,1.00,0.49,1.00,0.00,0.00,0.00
45.00,54.35,26.69,10.37,10.42,9.72,76.00,10.00,1.00,7.00,4.00,1.00,0.49,1.00,0.00,0.00,0.00
45.00,50.74,25.57,8.37,11.21,9.62,65.00,9.00,1.00,7.00,4.00,1.00,0.50,1.00,0.00,0.00,0.00
