cone_number,cone_length_mm,cone_width_mm,stalk_length_mm,scale_length_mm,scale_width_mm,scale_number,cone_angle,colour (hue),value,chroma,profile,cone_ratio,openness,seed_number,filled_number,seed_viability
26.00,58.25,28.34,9.34,9.28,8.00,79.00,7.00,1.00,8.00,6.00,2.00,0.49,3.00,34.00,28.00,0.82
9.00,26.58,14.12,7.92,4.67,5.87,45.00,7.00,1.00,7.00,4.00,1.00,0.53,3.00,17.00,13.00,0.76
9.00,31.05,16.11,8.85,6.60,5.83,47.00,10.00,1.00,6.00,4.00,1.00,0.52,2.00,19.00,15.00,0.79
9.00,29.19,15.63,9.54,5.69,5.94,50.00,10.00,1.00,6.00,4.00,1.00,0.54,3.00,22.00,20.00,0.91
9.00,40.69,19.16,11.46,7.01,6.33,52.00,6.00,1.00,7.00,4.00,1.00,0.47,2.00,27.00,25.00,0.93
9.00,26.71,15.95,9.45,4.45,5.29,53.00,10.00,1.00,6.00,4.00,1.00,0.60,3.00,29.00,26.00,0.90
33.00,46.13,18.92,6.87,6.10,6.94,67.00,12.00,1.00,6.00,4.00,3.00,0.41,2.00,19.00,12.00,0.63
33.00,64.41,25.64,8.76,8.61,8.85,74.00,6.00,1.00,7.00,4.00,3.00,0.40,3.00,32.00,29.00,0.91
33.00,66.84,25.72,9.62,9.60,10.59,67.00,7.00,1.00,6.00,4.00,3.00,0.38,3.00,33.00,23.00,0.70
33.00,63.15,24.30,9.84,8.29,7.91,72.00,10.00,1.00,6.00,4.00,3.00,0.38,3.00,35.00,30.00,0.86
33.00,63.98,25.74,7.58,8.05,9.18,76.00,6.00,1.00,6.00,4.00,3.00,0.40,3.00,44.00,33.00,0.75
43.00,42.24,18.59,11.86,5.80,6.17,69.00,8.00,1.00,7.00,4.00,2.00,0.44,1.00,0.00,0.00,0.00
43.00,51.31,22.77,10.43,8.60,7.56,77.00,11.00,1.00,7.00,4.00,2.00,0.44,3.00,25.00,17.00,0.68
43.00,53.78,24.14,9.84,7.32,7.35,81.00,9.00,1.00,7.00,4.00,2.00,0.45,3.00,39.00,34.00,0.87
43.00,64.55,26.85,10.99,9.20,8.47,77.00,21.00,1.00,6.00,4.00,3.00,0.42,3.00,40.00,36.00,0.90
43.00,59.53,26.75,11.47,8.48,8.09,86.00,14.00,1.00,7.00,4.00,3.00,0.45,3.00,49.00,45.00,0.92
36.00,33.43,15.68,9.28,6.37,5.60,62.00,6.00,1.00,8.00,4.00,2.00,0.47,4.00,13.00,7.00,0.54
36.00,42.00,20.83,9.82,6.89,6.12,74.00,7.00,1.00,8.00,4.00,2.00,0.50,4.00,15.00,15.00,1.00
36.00,36.50,18.25,9.82,6.52,5.69,67.00,6.00,1.00,8.00,4.00,2.00,0.50,2.00,15.00,11.00,0.73
36.00,41.02,19.54,8.55,7.74,6.49,65.00,6.00,1.00,8.00,6.00,2.00,0.48,4.00,17.00,16.00,0.94
36.00,43.17,20.51,8.34,6.82,6.65,68.00,7.00,1.00,7.00,4.00,2.00,0.48,4.00,20.00,19.00,0.95
6.00,34.29,18.09,7.88,5.48,5.02,62.00,6.00,1.00,7.00,4.00,2.00,0.53,2.00,20.00,15.00,0.75
6.00,32.02,17.86,5.48,5.34,5.85,51.00,5.00,1.00,7.00,4.00,2.00,0.56,3.00,24.00,15.00,0.63
6.00,32.95,18.55,5.72,5.74,5.86,58.00,9.00,1.00,7.00,4.00,2.00,0.56,3.00,24.00,19.00,0.79
6.00,39.66,19.46,9.03,7.06,6.82,65.00,7.00,1.00,6.00,4.00,2.00,0.49,3.00,26.00,22.00,0.85
6.00,40.60,23.48,7.89,6.89,5.82,69.00,9.00,1.00,7.00,4.00,3.00,0.58,3.00,31.00,21.00,0.68
15.00,41.30,20.67,7.99,5.42,6.57,68.00,7.00,1.00,6.00,4.00,2.00,0.50,4.00,16.00,12.00,0.75
15.00,37.00,19.86,7.83,6.98,7.45,66.00,6.00,1.00,6.00,4.00,2.00,0.54,3.00,16.00,13.00,0.81
15.00,36.72,19.09,6.40,6.26,7.14,58.00,7.00,1.00,6.00,4.00,2.00,0.52,2.00,17.00,16.00,0.94
15.00,42.67,22.91,8.80,7.05,7.10,70.00,6.00,1.00,6.00,4.00,2.00,0.54,3.00,20.00,16.00,0.80
15.00,38.46,19.95,7.02,6.31,7.39,59.00,7.00,1.00,6.00,4.00,2.00,0.52,4.00,21.00,14.00,0.67
64.00,60.04,27.94,11.20,9.95,9.44,89.00,8.00,2.00,5.00,4.00,1.00,0.47,4.00,9.00,4.00,0.44
64.00,54.91,25.43,10.85,9.07,9.15,88.00,15.00,1.00,5.00,2.00,1.00,0.46,2.00,12.00,9.00,0.75
64.00,56.17,26.17,9.73,8.86,8.60,83.00,8.00,1.00,5.00,2.00,1.00,0.47,4.00,20.00,15.00,0.75
64.00,60.17,27.33,11.03,9.28,9.14,80.00,10.00,2.00,5.00,4.00,1.00,0.45,4.00,27.00,17.00,0.63
64.00,56.74,27.11,10.19,9.30,8.83,81.00,10.00,2.00,5.00,4.00,1.00,0.48,4.00,28.00,20.00,0.71
73.00,35.95,17.71,9.66,7.67,5.61,54.00,12.00,1.00,7.00,4.00,3.00,0.49,2.00,8.00,6.00,0.75
